疾病分類,疾病名稱,症狀,併發症,危險族群,科別,部位
癌症腫瘤,大腸直腸癌（大腸癌）,"血便,排便習慣改變,腹痛,體重減輕,貧血,腹瀉,便祕,黏液便,容易疲倦","腸阻塞,腸穿孔,癌細胞轉移","50歲以上者 (台灣大腸直腸癌最好發的年齡是65-75歲),家族大腸直腸癌病史者,愛吃肉者,有腸道發炎病史者,克隆氏症患者",血液腫瘤科、肝膽胃腸科、大腸直腸外科,大腸、直腸
癌症腫瘤,胃癌,"上腹部不適,胃痛,泛酸,噯氣,食慾減退,噁心,胃脘部灼熱,腹瀉,黑便,體重減輕","癌細胞轉移（肺臟、肝臟、腦部、骨骼、胰臟、大網膜、橫結腸、肝臟、橫膈、脾臟、食道、十二指腸）,惡性腹水,腸道阻塞","中年以後男性，50歲男性為好發族群，男女比例約為1.7：1。,家族病史有胃癌者。","血液腫瘤科,胃腸肝膽科",胃
癌症腫瘤,攝護腺癌,"排尿疼痛,排尿困難,頻尿,夜尿,血尿,性功能障礙,勃起困難,射精疼痛,漏尿,背痛,臀部痛,骨盆痛,尿流口徑減小,血精","癌細胞轉移（骨頭、骨髓、淋巴結、肺部、肝臟等）,下肢無力,大小便失禁,病理性骨折","50歲以上的男性。,有前列腺癌家族病史者。","血液腫瘤科,泌尿科",攝護腺
癌症腫瘤,肝癌,"肝區疼痛,乏力,黃疸,腹水,體重減輕,食慾減退,上腹悶脹,噁心嘔吐,腹瀉,咳嗽,咳血,發燒,胸痛,呼吸困難","癌細胞轉移（肺臟、肝臟、腎臟、腦部、骨骼、胰臟、脾臟、橫膈、胃、結腸、網膜、卵巢）,門靜脈高血壓,頑固性腹水","有慢性肝炎病史者。,肝硬化之患者。,酒精性肝硬化，約佔肝癌15％。,少數因遺傳疾病色素性肝硬化或自體免疫性肝炎而引起。","血液腫瘤科,胃腸肝膽科",肝
癌症腫瘤,食道癌,"吞嚥困難,吞嚥時有疼痛感,噁心,嘔吐,嘔血,胃食道逆流,咳嗽,發燒","癌細胞轉移（肝臟、肺臟、橫膈膜、腦部、骨頭等）,黃疸,腹水,呼吸困難,胸腔積水,吸入性肺炎,敗血症","50~60歲男性。,抽菸、喝酒、嚼檳榔族群。,頭頸癌患者。,胃酸液逆流者。,肥胖者等等。","血液腫瘤科,呼吸胸腔科",食道
癌症腫瘤,肺癌,"咳嗽,咳血,厭食,呼吸困難,肋膜積水,聲音嘶啞,吞嚥困難,上腔靜脈症候群,手臂疼痛,手臂無力,頭痛,嘔吐,視覺障礙,骨頭疼痛,體重減輕",癌細胞轉移（肺門、縱隔腔的淋巴結、胸腔附近的組織，腦部、腎上腺、肝臟、骨骼及腎臟）,"吸菸者及吸入二手菸者。,家族病史有肺癌者。","血液腫瘤科,呼吸胸腔科,胸腔外科",肺
癌症腫瘤,乳癌,"乳房腫塊,乳腺疼痛,乳頭出血,乳頭凹陷,乳房外型改變,乳房皮膚呈橘皮組織,乳房紅腫,乳房潰爛,腋下淋巴腺腫大,不正常乳頭分泌物",癌細胞轉移（肺臟、肝臟、骨骼等）,"40~50歲的婦女。,家族有乳癌病史的女性。,胸部曾接受放射治療者。,未曾生育或30歲以上才生第一胎者。,初經較早（11歲以下）或停經較晚（55歲以後）者。,曾患良性乳房腫瘤者。,未曾哺乳者。,長期使用賀爾蒙補充劑者。","血液腫瘤科,一般外科,整形外科",乳房
癌症腫瘤,子宮頸癌,"陰道出血,分泌物增多",癌細胞轉移（骨盆腔、腎臟、膀胱、直腸、肺臟、肝臟、骨骼、腦部等）,"40~50歲的婦女。,多重性伴侶者。,太年輕發生性經驗者。,性傳染病史者。,吸菸婦女，得子宮頸癌機率愈高。","血液腫瘤科,婦產科",子宮
癌症腫瘤,口腔癌,"口腔黏膜變白,口腔出現紅白斑或紅斑,口腔腫塊,口腔潰瘍久不癒合,口腔不明出血,頸部硬塊,舌頭知覺喪失,舌側緣出現周圍變硬的腫塊或潰瘍",癌細胞轉移或侵犯鄰近部位（肝臟、肺部、骨骼或顱底、口咽、下咽等）,"在25到44歲男性，為台灣十大癌症之口腔癌最常見者。,長期嚼食檳榔、吸菸及喝酒過量者。","牙科,耳鼻喉科,整型外科,口腔顎面外科,口腔病理及診斷科,腫瘤內科,放射腫瘤科",口腔
癌症腫瘤,卵巢癌,"便秘,腹瀉,腹部疼痛,腹部腫脹,噁心,脹氣,體重減輕,下肢水腫,外陰水腫,月經失調,陰道出血,頻尿,排尿困難,腰部疼痛","癌細胞轉移（子宮、輸卵管、結腸、小腸、肺臟、肝臟、骨頭等）,腹部積水","40歲至70歲的女性。,有卵巢癌或乳癌家族病史者。,不孕、無生育經驗的女性。","血液腫瘤科,婦產科",卵巢
